state,year,mcod_lower,mcod_upper,ucd_lower,ucd_upper
Alabama,2019,103,103,50.0,50.0
Alabama,2020,120,120,52.0,52.0
Alabama,2021,137,137,52.0,52.0
Alabama,2022,163,163,74.0,74.0
Alabama,2023,168,168,68.0,68.0
Alabama,2024,177,177,82.0,82.0
Alaska,2019,16,16,11.0,11.0
Alaska,2020,18,18,1.0,9.0
Alaska,2021,24,24,1.0,9.0
Alaska,2022,32,32,13.0,13.0
Alaska,2023,21,21,11.0,11.0
Alaska,2024,23,23,1.0,9.0
Arizona,2019,168,168,60.0,60.0
Arizona,2020,218,218,85.0,85.0
Arizona,2021,244,244,105.0,105.0
Arizona,2022,221,221,80.0,80.0
Arizona,2023,230,230,91.0,91.0
Arizona,2024,258,258,90.0,90.0
Arkansas,2019,96,96,38.0,38.0
Arkansas,2020,111,111,37.0,37.0
Arkansas,2021,122,122,51.0,51.0
Arkansas,2022,132,132,45.0,45.0
Arkansas,2023,145,145,47.0,47.0
Arkansas,2024,137,137,58.0,58.0
California,2019,892,892,314.0,314.0
California,2020,1149,1149,383.0,383.0
California,2021,1111,1111,383.0,383.0
California,2022,1176,1176,391.0,391.0
California,2023,1193,1193,420.0,420.0
California,2024,1182,1182,413.0,413.0
Colorado,2019,178,178,67.0,67.0
Colorado,2020,202,202,70.0,70.0
Colorado,2021,224,224,72.0,72.0
Colorado,2022,299,299,110.0,110.0
Colorado,2023,245,245,74.0,74.0
Colorado,2024,295,295,97.0,97.0
Connecticut,2019,76,76,37.0,37.0
Connecticut,2020,67,67,30.0,30.0
Connecticut,2021,99,99,50.0,50.0
Connecticut,2022,91,91,43.0,43.0
Connecticut,2023,103,103,50.0,50.0
Connecticut,2024,119,119,56.0,56.0
Delaware,2019,14,14,10.0,10.0
Delaware,2020,30,30,15.0,15.0
Delaware,2021,38,38,16.0,16.0
Delaware,2022,30,30,12.0,12.0
Delaware,2023,49,49,20.0,20.0
Delaware,2024,40,40,11.0,11.0
District of Columbia,2019,14,14,1.0,9.0
District of Columbia,2020,33,33,1.0,9.0
District of Columbia,2021,34,34,15.0,15.0
District of Columbia,2022,33,33,18.0,18.0
District of Columbia,2023,29,29,13.0,13.0
District of Columbia,2024,24,24,1.0,9.0
Florida,2019,435,435,189.0,189.0
Florida,2020,503,503,209.0,209.0
Florida,2021,579,579,227.0,227.0
Florida,2022,600,600,258.0,258.0
Florida,2023,617,617,235.0,235.0
Florida,2024,595,595,239.0,239.0
Georgia,2019,212,212,87.0,87.0
Georgia,2020,249,249,105.0,105.0
Georgia,2021,247,247,94.0,94.0
Georgia,2022,266,266,106.0,106.0
Georgia,2023,287,287,99.0,99.0
Georgia,2024,346,346,142.0,142.0
Hawaii,2019,19,19,13.0,13.0
Hawaii,2020,22,22,13.0,13.0
Hawaii,2021,28,28,1.0,9.0
Hawaii,2022,20,20,1.0,9.0
Hawaii,2023,16,16,1.0,9.0
Hawaii,2024,30,30,11.0,11.0
Idaho,2019,51,51,19.0,19.0
Idaho,2020,53,53,23.0,23.0
Idaho,2021,59,59,16.0,16.0
Idaho,2022,61,61,22.0,22.0
Idaho,2023,55,55,20.0,20.0
Idaho,2024,56,56,27.0,27.0
Illinois,2019,213,213,90.0,90.0
Illinois,2020,238,238,99.0,99.0
Illinois,2021,240,240,114.0,114.0
Illinois,2022,285,285,132.0,132.0
Illinois,2023,279,279,127.0,127.0
Illinois,2024,275,275,124.0,124.0
Indiana,2019,169,169,68.0,68.0
Indiana,2020,229,229,85.0,85.0
Indiana,2021,267,267,98.0,98.0
Indiana,2022,259,259,85.0,85.0
Indiana,2023,297,297,109.0,109.0
Indiana,2024,296,296,103.0,103.0
Iowa,2019,96,96,37.0,37.0
Iowa,2020,93,93,33.0,33.0
Iowa,2021,83,83,43.0,43.0
Iowa,2022,114,114,46.0,46.0
Iowa,2023,99,99,36.0,36.0
Iowa,2024,110,110,38.0,38.0
Kansas,2019,59,59,20.0,20.0
Kansas,2020,74,74,25.0,25.0
Kansas,2021,81,81,44.0,44.0
Kansas,2022,85,85,44.0,44.0
Kansas,2023,88,88,39.0,39.0
Kansas,2024,83,83,25.0,25.0
Kentucky,2019,128,128,54.0,54.0
Kentucky,2020,140,140,64.0,64.0
Kentucky,2021,133,133,63.0,63.0
Kentucky,2022,162,162,68.0,68.0
Kentucky,2023,159,159,68.0,68.0
Kentucky,2024,160,160,63.0,63.0
Louisiana,2019,123,123,48.0,48.0
Louisiana,2020,155,155,60.0,60.0
Louisiana,2021,172,172,66.0,66.0
Louisiana,2022,146,146,49.0,49.0
Louisiana,2023,161,161,65.0,65.0
Louisiana,2024,115,115,51.0,51.0
Maine,2019,51,51,23.0,23.0
Maine,2020,46,46,14.0,14.0
Maine,2021,53,53,19.0,19.0
Maine,2022,65,65,23.0,23.0
Maine,2023,62,62,15.0,15.0
Maine,2024,63,63,20.0,20.0
Maryland,2019,135,135,51.0,51.0
Maryland,2020,186,186,60.0,60.0
Maryland,2021,201,201,67.0,67.0
Maryland,2022,253,253,82.0,82.0
Maryland,2023,226,226,80.0,80.0
Maryland,2024,229,229,57.0,57.0
Massachusetts,2019,114,114,60.0,60.0
Massachusetts,2020,96,96,34.0,34.0
Massachusetts,2021,150,150,61.0,61.0
Massachusetts,2022,159,159,62.0,62.0
Massachusetts,2023,146,146,66.0,66.0
Massachusetts,2024,142,142,60.0,60.0
Michigan,2019,238,238,116.0,116.0
Michigan,2020,287,287,119.0,119.0
Michigan,2021,326,326,156.0,156.0
Michigan,2022,340,340,142.0,142.0
Michigan,2023,337,337,137.0,137.0
Michigan,2024,354,354,151.0,151.0
Minnesota,2019,171,171,55.0,55.0
Minnesota,2020,196,196,62.0,62.0
